School,Mens Soccer Roster URL,Mens Soccer Statistics URL
Siena,https://sienasaints.com/sports/mens-soccer/roster/2025,https://sienasaints.com/sports/mens-soccer/stats
UC Irvine,https://ucirvinesports.com/sports/mens-soccer/roster/2025,https://ucirvinesports.com/sports/mens-soccer/stats
Bucknell,https://bucknellbison.com/sports/mens-soccer/roster/2025,https://bucknellbison.com/sports/mens-soccer/stats
Stony Brook,https://stonybrookathletics.com/sports/mens-soccer/roster/2025,https://stonybrookathletics.com/sports/mens-soccer/stats
Lehigh,https://lehighsports.com/sports/mens-soccer/roster/2025,https://lehighsports.com/sports/mens-soccer/stats
Pittsburgh,https://pittsburghpanthers.com/sports/mens-soccer/roster/2025,https://pittsburghpanthers.com/sports/mens-soccer/stats
Elon,https://elonphoenix.com/sports/mens-soccer/roster/2025,https://elonphoenix.com/sports/mens-soccer/stats
Harvard,https://gocrimson.com/sports/mens-soccer/roster/2025,https://gocrimson.com/sports/mens-soccer/stats
Northwestern,https://nusports.com/sports/mens-soccer/roster/2025,https://nusports.com/sports/mens-soccer/stats
Boston University,https://goterriers.com/sports/mens-soccer/roster/2025,https://goterriers.com/sports/mens-soccer/stats
Western Michigan,https://wmubroncos.com/sports/mens-soccer/roster/2025,https://wmubroncos.com/sports/mens-soccer/stats
American,https://aueagles.com/sports/mens-soccer/roster/2025,https://aueagles.com/sports/mens-soccer/stats
FIU,https://fiusports.com/sports/mens-soccer/roster/2025,https://fiusports.com/sports/mens-soccer/stats
FDU,https://fduknights.com/sports/mens-soccer/roster/2025,https://fduknights.com/sports/mens-soccer/stats
Drake,https://godrakebulldogs.com/sports/mens-soccer/roster/2025,https://godrakebulldogs.com/sports/mens-soccer/stats
Brown,https://brownbears.com/sports/mens-soccer/roster/2025,https://brownbears.com/sports/mens-soccer/stats
Providence,https://friars.com/sports/mens-soccer/roster/2025,https://friars.com/sports/mens-soccer/stats
Penn,https://pennathletics.com/sports/mens-soccer/roster/2025,https://pennathletics.com/sports/mens-soccer/stats
Marist,https://goredfoxes.com/sports/mens-soccer/roster/2025,https://goredfoxes.com/sports/mens-soccer/stats
